DataSource,USGS_or_Durham_station_ID,Sample_date,Sample_time,Instantaneous_flow_cfs,Daily_mean_flow_cfs,Dissolved_oxygen_mg/L,pH_standard_units,Specific_conductance_µS/cm_25C,Water_temperature_C,Turbidity_unfiltered_NTU,Ammonia+organicN_unfiltered_mg/L_N,Nitrate+nitrite_unfiltered_mg/L_N,Nitrate+nitrite_filtered_mg/L_ N,Total nitrogen_computed_mg/L_N,Phosphorus_unfiltered_mg/L_P     
City of Durham,EL7.9EC,2/10/15,1050,42.42,34.87,11.78,6.64,88,6.7,42.3,0.72,0.29,--,1.01,0.23
City of Durham,EL7.9EC,3/10/15,1045,2.63,2.63,11.38,7.49,278,10,8.9,0.57,0.17,--,0.74,0.03
City of Durham,EL7.9EC,4/14/15,1043,1.03,1.9,6.2,7.31,323,18.7,9.9,0.45,0.11,--,0.56,0.05
City of Durham,EL7.9EC,5/12/15,1047,0.72,0.69,6.41,7.46,279,21.7,2.4,0.3,0.21,--,0.51,0.05
City of Durham,EL7.9EC,6/9/15,1035,5.66,4.17,7.14,7.18,112,22.5,32.1,0.84,0.45,--,1.29,0.13
City of Durham,EL7.9EC,7/14/15,911,2.35,2.48,6.45,7.21,129,24.1,6.94,1.3,0.24,--,1.54,0.04
City of Durham,EL7.9EC,8/11/15,945,0.29,1.36,4.82,7.04,182,23.8,3.68,0.37,0.15,--,0.52,0.08
City of Durham,EL7.9EC,9/15/15,1033,0.22,0.21,5.17,7,187,17.3,1.81,E0.23,0.1,--,E0.33,0.31
City of Durham,EL7.9EC,10/13/15,1050,0.31,0.3,7.4,7.24,247,17.1,2,0.49,0.17,--,0.66,0.05
City of Durham,EL7.9EC,11/10/15,1047,20.9,21.96,9.68,7.08,95,14.6,36.7,0.97,0.18,--,1.15,0.19
City of Durham,EL7.9EC,12/1/15,1035,9.49,10.72,10.98,7.31,117,11,23,1.23,0.16,--,1.39,0.1
City of Durham,EL7.9EC,1/12/16,840,1.62,1.61,13.39,6.99,201,3.5,12.5,0.63,0.39,--,1.02,0.08
City of Durham,EL7.9EC,2/9/16,825,2.07,1.99,E11.46,6.74,296,5.9,10.8,0.3,0.47,--,0.77,0.06
City of Durham,EL7.9EC,3/15/16,800,20.9,41.46,9.14,6.52,451,15.6,74.7,--,0.38,--,--,0.09
City of Durham,EL7.9EC,4/12/16,835,19.15,11.51,9.01,6.83,175,15.1,38.1,1.11,0.23,--,1.34,0.32
City of Durham,EL7.9EC,5/10/16,830,1.05,1.02,7.33,6.9,241,19.2,7.22,0.33,0.25,--,0.58,0.11
City of Durham,EL7.9EC,6/14/16,845,0.31,0.31,5.65,6.74,296,20.6,3.73,0.54,0.34,--,0.88,0.08
City of Durham,EL7.9EC,7/12/16,850,1.05,30.83,6.33,E7.04,225,24,4.46,0.65,0.6,--,1.25,0.07
City of Durham,EL7.9EC,8/9/16,845,1.05,1.02,6.68,7.01,196,27.4,4.57,0.57,0.4,--,0.97,0.1
City of Durham,EL7.9EC,9/13/16,845,0.18,0.14,1.97,6.56,282,22.4,9.47,0.71,E0.06,--,0.77,0.09
USGS,208675009,10/8/16,1415,786.08,324.97,8.7,7,44,20.3,150,1.2,--,0.29,1.49,0.326
City of Durham,EL7.9EC,10/11/16,835,1.83,1.71,9.68,7.24,156,14.1,14.2,0.94,0.4,--,1.34,0.07
City of Durham,EL7.9EC,11/8/16,900,0.26,0.26,7.39,7.29,307,10.1,1.41,0.47,<0.04,--,0.49,0.04
USGS,208675009,12/6/16,1430,10.1,6.85,10.1,7.4,115,10.4,20,0.47,--,0.16,0.63,0.099
USGS,208675009,1/2/17,950,117.69,55.86,--,--,63,--,--,0.77,--,0.3,1.07,0.213
City of Durham,EL7.9EC,1/19/17,1100,0.75,0.82,10.82,7.46,704,8.5,5.88,E0.24,E0.09,--,E0.33,0.13
USGS,208675009,1/23/17,730,184.44,38.65,--,--,249,--,170,1.4,--,0.25,1.65,0.371
USGS,208675009,2/9/17,530,39.17,9.31,--,--,169,--,85,0.75,--,0.2,0.95,0.159
City of Durham,EL7.9EC,2/14/17,1050,0.61,0.55,10.49,7.48,340,7.5,12.1,E0.27,<0.04,--,E0.29,0.06
USGS,208675009,3/1/17,2130,161.61,21.69,--,--,156,--,230,1.9,--,0.3,2.2,0.516
USGS,208675009,3/14/17,236,78.34,20.82,--,--,124,--,56,0.73,--,0.3,1.03,0.157
City of Durham,EL7.9EC,4/11/17,1005,0.5,0.48,6.4,7.2,282,15.8,3.7,0.57,<0.04,--,0.59,0.04
USGS,208675009,4/25/17,335,599.88,294.23,--,--,50,--,100,0.94,--,0.27,1.21,0.282
USGS,208675009,5/5/17,610,396.99,73.78,--,--,61,--,470,2,--,0.19,2.19,0.74
City of Durham,EL7.9EC,5/16/17,1000,2.33,1.66,8.2,7.2,216,18.3,6.9,0.74,0.31,--,1.05,0.06
USGS,208675009,5/24/17,2005,86.69,20.9,--,--,78,--,84,0.92,--,0.2,1.12,0.215
USGS,208675009,5/25/17,425,209.91,52.79,--,--,59,--,190,1.2,--,0.19,1.39,0.413
USGS,208675009,6/5/17,2103,221.33,66.58,--,--,42,--,150,1.1,--,0.15,1.25,0.276
City of Durham,EL7.9EC,6/13/17,1000,0.75,0.88,6.4,6.9,257,22.2,3.5,0.31,0.26,--,0.57,E0.03
USGS,208675009,6/17/17,1532,274.03,46.02,--,--,36,--,280,1.6,--,0.17,1.77,0.46
USGS,208675009,6/20/17,231,324.09,101,--,--,40,--,120,1.1,--,0.2,1.3,0.263
USGS,208675009,6/26/17,1445,1.41,1.6,--,--,156,--,7,0.55,--,0.21,0.76,0.092
USGS,208675009,7/8/17,2021,5.87,3.09,--,--,156,--,66,0.93,--,0.32,1.25,0.173
City of Durham,EL7.9EC,7/11/17,1025,0.61,0.55,5.2,6.6,184,24.3,3.2,0.38,0.25,--,0.63,0.09
USGS,208675009,8/13/17,715,40.67,12.82,--,--,64,--,210,1.1,--,0.24,1.34,0.27
City of Durham,EL7.9EC,8/15/17,1015,1.05,1.73,5.6,7.1,109,24.2,7.6,0.3,0.16,--,0.46,0.09
USGS,208675009,9/1/17,1945,245.05,33.99,--,--,38,--,260,1.5,--,0.3,1.8,0.437
City of Durham,EL7.9EC,9/12/17,1030,0.75,1.46,7.9,7.4,182,17.9,6.9,0.3,E0.09,--,0.39,0.21
City of Durham,EL7.9EC,10/10/17,1035,0.72,1.9,5.4,6.8,138,24.1,5.8,0.81,0.19,--,1,0.08
USGS,208675009,10/11/17,1840,12.56,2.85,--,--,72,--,56,0.97,--,0.34,1.31,0.236
USGS,208675009,10/23/17,2225,311.8,28.46,--,--,37,--,360,2.1,--,0.19,2.29,0.554
City of Durham,EL7.9EC,11/7/17,1040,0.16,0.17,4.9,6.8,212,16,2.1,0.47,E0.04,--,0.51,0.05
USGS,208675009,11/13/17,452,60.95,10.28,--,--,87,--,170,1.1,--,0.18,1.28,0.371
City of Durham,EL7.9EC,12/5/17,1045,0.18,0.18,7.5,6.6,271,8.6,3.9,E0.26,<0.04,--,E0.28,0.11
USGS,208675009,12/8/17,2212,102.76,16.07,--,--,73,--,110,0.84,--,0.23,1.07,0.274
USGS,208675009,12/21/17,1005,1.05,1.16,--,--,284,--,16,0.46,--,0.02,0.48,0.092
City of Durham,EL7.1EC,1/2/18,910,0.35,0.35,13.7,7.1,349,1.6,2.2,<0.17,E0.04,--,<0.21,<0.03
USGS,208675009,1/12/18,2205,70.7,12.38,--,--,291,--,210,1,--,0.23,1.23,0.254
City of Durham,EL7.1EC,2/6/18,910,2.36,2.25,E11.1,7.6,117,4.1,24,0.53,0.4,--,0.93,0.17
City of Durham,EL7.1EC,3/6/18,850,0.7,6.27,10.8,7.9,263,7.7,4.3,0.44,E0.04,--,0.48,0.05
City of Durham,EL7.1EC,4/3/18,835,1.01,1.02,7.3,7.5,273,15.3,3.4,0.72,E0.04,--,0.76,0.03
City of Durham,EL7.1EC,5/1/18,825,1.01,0.99,8,7.5,170,13.7,4.1,0.52,E0.04,--,0.56,0.06
City of Durham,EL7.1EC,6/5/18,850,1.19,1.23,6.1,E6.8,195,21.6,9.7,0.55,0.2,--,0.75,0.15
City of Durham,EL7.1EC,7/10/18,825,0.48,0.47,5.9,6.9,155,22.2,7.8,0.76,<0.04,--,0.78,0.08
City of Durham,EL7.1EC,8/7/18,900,0.58,1.8,5.6,7,176,25.2,6.8,0.69,<0.04,--,0.71,0.47
City of Durham,EL7.1EC,9/4/18,900,1.12,1.17,E5.4,7.3,217,25,3.6,E0.22,0.18,--,E0.40,0.31
City of Durham,EL7.1EC,10/2/18,855,0.82,0.96,5.9,6.9,191,21,4.6,E0.26,0.18,--,E0.44,0.07
City of Durham,EL7.1EC,11/6/18,830,7.32,7.53,8.7,6.7,121,15.5,27.6,0.65,0.38,--,1.03,0.16
City of Durham,EL7.1EC,12/4/18,930,2.37,2.26,9.4,7.1,192,10.7,6.7,0.37,0.14,--,0.51,0.08
City of Durham,EL7.1EC,1/8/19,1100,3.83,3.83,10.4,6.9,215,11.6,8.7,E0.27,0.38,--,E0.65,0.05
City of Durham,EL7.1EC,2/5/19,1015,1.49,1.58,10.8,7.4,261,8.2,5.9,E0.23,E0.07,--,E0.30,0.03
City of Durham,EL7.1EC,3/5/19,1100,6,6.17,11.6,7.2,146,6.9,22.3,0.51,0.25,--,0.76,0.09
City of Durham,EL7.1EC,4/2/19,1040,1.49,3.72,3.5,7.7,264,8.8,4.3,E0.29,E0.04,--,E0.33,0.03
City of Durham,EL7.1EC,5/7/19,1015,0.32,0.33,E5.5,7,169,19.7,5.8,E0.24,0.15,--,E0.39,0.08
City of Durham,EL7.1EC,6/5/19,1015,0.32,0.41,6,7.3,204,22.7,11.4,0.52,E0.09,--,0.61,0.09
City of Durham,EL7.1EC,7/9/19,955,1.71,1.67,5.6,6.9,139,25.7,10.7,0.58,0.11,--,0.69,0.1
City of Durham,EL7.1EC,8/6/19,955,2.77,11.8,6.6,6.9,87,23.5,33,1.16,0.27,--,1.43,0.15
City of Durham,EL7.1EC,9/3/19,1020,0.15,0.16,5.9,7.4,238,24.3,3.8,E0.26,<0.04,--,E0.28,0.04
City of Durham,EL7.1EC,10/1/19,1025,0.06,0.08,4.7,7.2,256,24.3,1.8,0.34,<0.04,--,0.36,0.09
City of Durham,EL7.1EC,11/5/19,1010,0.26,0.23,8.2,7,155,11.4,6.5,<0.12,<0.04,--,<0.16,0.06
City of Durham,EL7.1EC,12/3/19,1030,1.3,1.31,9.4,7.2,143,7.3,12.7,0.51,0.26,--,0.77,0.04
City of Durham,EL7.1EC,1/7/20,855,1.94,3.24,10.7,7.3,163,5.9,20.6,0.43,0.32,--,0.75,0.1
City of Durham,EL7.1EC,2/4/20,850,1.71,1.76,9.8,6.9,179,9.7,10.5,0.48,0.22,--,0.7,0.05
City of Durham,EL7.1EC,3/3/20,845,1.12,4.75,10.8,7,240,10.7,4.8,0.36,E0.07,--,0.43,0.05
City of Durham,EL7.1EC,5/12/20,930,0.7,0.68,8.5,7.3,268,13.3,18.9,0.5,0.14,--,0.64,0.08
City of Durham,EL7.1EC,6/9/20,950,0.58,0.6,5.6,6.9,266,23.6,16.9,E0.27,0.22,--,E0.49,0.09
City of Durham,EL7.1EC,7/7/20,825,1.3,2.32,5,6.9,E150,24.8,25.5,0.6,0.11,--,0.71,0.15
City of Durham,EL7.1EC,8/4/20,825,69.9,96,7.3,6.5,81,24,53,0.61,0.45,--,1.06,0.15
City of Durham,EL7.1EC,9/1/20,850,10.1,14.3,6.7,6.7,98,24.9,33.9,0.69,0.33,--,1.02,0.29
City of Durham,EL7.1EC,10/6/20,845,0.82,0.81,8,7,216,14.4,9.3,0.54,0.15,--,0.69,0.03
City of Durham,EL7.1EC,11/3/20,825,1.49,1.42,9.5,6.9,132,9.2,10.4,--,0.1,--,--,0.12
City of Durham,EL7.1EC,12/1/20,820,6.16,6.08,10.2,7,100,11.2,23.5,0.68,0.23,--,0.91,0.09
